tech,year,cap_MW
coal,0,4000.0
gas,0,2000.0
solar,0,800.0
wind,0,1200.0
biomass,0,1000.0
coal,1,1690.7344852789192
gas,1,2000.0
solar,1,3753.0990871791932
wind,1,3264.710154746821
biomass,1,0.0
coal,2,1690.7344852789192
gas,2,2000.0
solar,2,3898.165970137906
wind,2,3293.009064378306
biomass,2,0.0
coal,3,538.4017233504283
gas,3,3515.020390906015
solar,3,3977.1222542216065
wind,3,3293.009064378306
biomass,3,0.0
coal,4,538.4017233504283
gas,4,3515.020390906015
solar,4,4102.2367425113
wind,4,3293.009064378306
biomass,4,0.0
coal,5,0.0
gas,5,4587.826657242396
solar,5,4236.178889097707
wind,5,3293.009064378306
biomass,5,0.0
coal,6,0.0
gas,6,4587.826657242396
solar,6,4372.746957036622
wind,6,3293.009064378306
biomass,6,0.0
coal,7,0.0
gas,7,5126.228380592825
solar,7,4514.5868739740545
wind,7,3293.009064378306
biomass,7,0.0
coal,8,0.0
gas,8,5126.228380592825
solar,8,4664.854605173412
wind,8,3293.009064378306
biomass,8,0.0
coal,9,0.0
gas,9,5126.228380592825
solar,9,4812.176784312145
wind,9,3293.009064378306
biomass,9,0.0
coal,10,0.0
gas,10,5126.228380592825
solar,10,4975.063513624573
wind,10,3293.009064378306
biomass,10,0.0
coal,11,0.0
gas,11,5126.228380592825
solar,11,5134.401280708844
wind,11,3293.009064378306
biomass,11,0.0
coal,12,0.0
gas,12,5126.228380592825
solar,12,5305.02132963334
wind,12,3293.009064378306
biomass,12,0.0
coal,13,0.0
gas,13,5264.044298570857
solar,13,5365.364089507725
wind,13,3293.009064378306
biomass,13,0.0
coal,14,0.0
gas,14,5388.635791874609
solar,14,5365.364089507725
wind,14,3293.009064378306
biomass,14,0.0
coal,15,0.0
gas,15,5540.167300620359
solar,15,5365.364089507725
wind,15,3293.009064378306
biomass,15,0.0
coal,16,0.0
gas,16,5695.958939935918
solar,16,5365.364089507725
wind,16,3293.009064378306
biomass,16,0.0
coal,17,0.0
gas,17,5856.13047839366
solar,17,5365.364089507725
wind,17,3293.009064378306
biomass,17,0.0
coal,18,0.0
gas,18,6020.805051718839
solar,18,5365.364089507725
wind,18,3293.009064378306
biomass,18,0.0
coal,19,0.0
gas,19,6190.109257453143
solar,19,5365.364089507725
wind,19,3293.009064378306
biomass,19,0.0
coal,20,0.0
gas,20,6364.173252279605
solar,20,5365.364089507725
wind,20,3293.009064378306
biomass,20,0.0
coal,21,0.0
gas,21,6494.3668613435175
solar,21,5365.364089507725
wind,21,3293.009064378306
biomass,21,0.0
coal,22,0.0
gas,22,6494.3668613435175
solar,22,5365.364089507725
wind,22,3293.009064378306
biomass,22,0.0
coal,23,0.0
gas,23,6494.3668613435175
solar,23,5365.364089507725
wind,23,3293.0090643783064
biomass,23,0.0
coal,24,0.0
gas,24,6494.3668613435175
solar,24,5365.364089507725
wind,24,3293.009064378306
biomass,24,0.0
coal,25,0.0
gas,25,6494.3668613435175
solar,25,5365.364089507725
wind,25,3293.009064378306
biomass,25,0.0
