h,g,year,conv_start_MW
coal,biomass,0,0.0
coal,biomass,1,0.0
coal,biomass,2,0.0
coal,biomass,3,0.0
coal,biomass,4,0.0
coal,biomass,5,0.0
coal,biomass,6,0.0
coal,biomass,7,0.0
coal,biomass,8,0.0
coal,biomass,9,0.0
coal,biomass,10,0.0
coal,biomass,11,0.0
coal,biomass,12,0.0
coal,biomass,13,0.0
coal,biomass,14,0.0
coal,biomass,15,0.0
coal,biomass,16,0.0
coal,biomass,17,0.0
coal,biomass,18,0.0
coal,biomass,19,0.0
coal,biomass,20,0.0
coal,biomass,21,0.0
coal,biomass,22,0.0
coal,biomass,23,0.0
coal,biomass,24,0.0
coal,biomass,25,0.0
coal,gas,0,0.0
coal,gas,1,1515.020390906015
coal,gas,2,0.0
coal,gas,3,1072.8062663363812
coal,gas,4,0.0
coal,gas,5,538.4017233504283
coal,gas,6,0.0
coal,gas,7,0.0
coal,gas,8,0.0
coal,gas,9,0.0
coal,gas,10,0.0
coal,gas,11,0.0
coal,gas,12,0.0
coal,gas,13,0.0
coal,gas,14,0.0
coal,gas,15,0.0
coal,gas,16,0.0
coal,gas,17,0.0
coal,gas,18,0.0
coal,gas,19,0.0
coal,gas,20,0.0
coal,gas,21,0.0
coal,gas,22,0.0
coal,gas,23,0.0
coal,gas,24,0.0
coal,gas,25,0.0
